index,RecipeId,Name,AuthorId,AuthorName,CookTime,PrepTime,TotalTime,DatePublished,Description,Images,RecipeCategory,Keywords,RecipeIngredientQuantities,RecipeIngredientParts,AggregatedRating,ReviewCount,Calories,FatContent,SaturatedFatContent,CholesterolContent,SodiumContent,CarbohydrateContent,FiberContent,SugarContent,ProteinContent,RecipeServings,RecipeYield,RecipeInstructions
777,1232,Vegetarian Pad Thai,1580,tristitia,,PT0S,PT0S,1999-09-23T06:19:00Z,Make and share this Vegetarian Pad Thai recipe from Food.com.,character(0),Thai,"c(""Asian"", ""< 15 Mins"")","c(""8"", ""2"", ""2"", ""1"", ""2"", ""4"", ""4"", ""1/4"", ""2"", ""2"", ""1/4"", ""4"", ""2"")","('garlic', 'red bell pepper', 'tomatoes', 'snow peas', 'firm tofu', 'reduced sodium soy sauce', 'fresh lime juice', 'fresh cilantro', 'cashews', 'scallions', 'fresh bean sprouts')",4.0,8.0,353.0,8.1,1.6,0.0,702.8,62.4,4.7,6.7,9.1,4.0,,"c(""In large pot, bring 3 quarts water to a boil."", ""add noodles, stir to prevent sticking."", ""cook until tender, about 4 minutes."", ""drain well and set aside. Meanwhile, in large wok or skillet, heat oil over medium-high heat.  add garlic and bell pepper and stir-fry 3 minutes."", ""stir in tomatoes, snow peas and tofu and stir-fry until vegetables are just tender, about 4 minutes."", ""Add soy sauce and lime juice and bring to a simmer."", ""cook, stirring often, 2 to 3 minutes more.  stir in cooked noodles and  cilantro."", 
""Divide noodle mixture among plates."", ""sprinkle with cashews, scallions, and bean sprouts and serve right away."")"
1460,2916,Thai Dumplings with Dipping Sauce,1587,rosasharn,,PT0S,PT0S,1999-09-02T04:33:00Z,Make and share this Thai Dumplings with Dipping Sauce recipe from Food.com.,character(0),Thai,"c(""Asian"", ""Low Cholesterol"", ""Healthy"", ""< 15 Mins"", ""For Large Groups"")","c(""2"", ""2"", ""1"", ""1"", ""3"", ""1"", ""1"", ""1"", ""1/2"", ""1"", ""1/4"", ""2"", ""1"", ""1/2"", ""1"")","('garlic', 'ginger', 'green onions', 'zucchini', 'red bell pepper', 'fresh lime juice', 'cilantro', 'wonton wrapper', 'tamari', 'rice vinegar', 'green onion')",5.0,2.0,58.0,1.5,0.2,1.3,208.3,9.2,0.5,0.4,1.9,32.0,,"c(""In large skillet, heat oil over high heat. Add garlic, ginger and chili paste.  Stir-fry 1 minute. Add green onions and cook 1 minute. Add zucchini and bell  pepper and cook, stirring often, until vegetables are just tender, 3 to 4  minutes."", ""Add lime juice and cilantro."", ""Remove from heat and allow the mixture  to cool."", ""Transfer mixture to food processor and coarsely chop."", ""Dipping sauce:  In small bowl, mix all sauce ingredients and set aside. Line baking sheet with  plastic wrap."", 
""Working on a clean, flat surface, place 1 tablespoon of filling in  center of won ton wrapper."", ""Brush corners with a little water, then gather sides  of wrapper and pinch tops to resemble a pouch."", ""Set dumpling on baking sheet.  Repeat until filling is used up."", ""Fill wok or base of tiered bamboo steamer  about 1/3 full of water."", ""Cover and bring to a boil over high heat. Lightly oil  steamer and place dumplings inside so edges are not touching."", ""Set steamer over  boiling water, cover and cook dumplings until tender, 15 minutes."", 
""Transfer  dumplings to a platter and serve right away with dipping sauce."")"
1593,3055,Japanese Hamburger Dish,1534,Tonkcats,,PT0S,PT0S,1999-09-30T07:14:00Z,Make and share this Japanese Hamburger Dish recipe from Food.com.,character(0),Japanese,"c(""Asian"", ""< 15 Mins"")","c(""1/4"", ""1"", ""3/4"", ""1"", ""1/4"", ""1"", ""1"", ""1"")","('butter', 'margarine', 'beef', 'water', 'salt', 'soy sauce')",4.0,2.0,737.3,68.8,27.4,99.9,483.1,18.3,4.1,0.7,13.1,4.0,,"c(""Saute almo  nds in butter or margarine in skillet until lightly browned."", ""Remove  from pan and set aside. Brown beef well in butter remaining in skillet. Stir in  water and salt and bring to a boil."", ""Stir in noodles."", ""Cover and simmer for 2  minutes."", ""Add vegetables."", ""Bring to a full boil over medium heat, separating  vegetables with a fork and stirring frequently."", ""Cover and simmer for 3 minutes."", ""Stir in soy sauce and sprinkle with almonds."")"
1920,3401,Grilled Thai Sirloin with Tangy Lime Sauce,1533,Dancer,,PT0S,PT0S,1999-10-16T17:40:00Z,Make and share this Grilled Thai Sirloin with Tangy Lime Sauce recipe from Food.com.,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/34/01/picE9Hc1Z.jpg""",Thai,"c(""Asian"", ""< 15 Mins"")","c(""1 1/4"", ""3"", ""2"", ""1/2"", ""2"", ""3/4"", ""1/3"", ""1"", ""1"", ""1/2"", ""1/4"", NA, NA)","('boneless beef top sirloin steaks', 'soy sauce', 'olive oil', 'garlic powder', 'fresh garlic', 'pepper', 'cilantro', 'fresh lime juice', 'soy sauce', 'brown sugar', 'pepper', 'lime slice', 'fresh cilantro leaves')",5.0,2.0,237.0,8.1,2.5,85.0,1088.2,5.8,0.7,1.1,34.1,4.0,,"c(""In small bowl, combine 3 tablespoons soy sauce, olive oil and hot chili oil;  whisk until blended."", ""In second small bowl, combine garlic powder and 3/4  teaspoon pepper."", ""Place beef steak in large shallow dish."", ""Pour 1/2 of soy sauce  mixture over one side of steak; sprinkle with 1/2 of garlic powder mixture and  1/2 of chopped cilantro."", ""Rub mixture firmly into beef."", ""Turn steak over and  repeat on second side. Cover and marinate in refrigerator 20 minutes."", ""Place  steak on grid over medium, ash-covered coals."", 
""Grill, uncovered, 17 to 21 minutes for medium rare to medium doneness, turning once. When steak is almost done, in  small saucepan, combine sauce ingredients."", ""Place on grid near edge of grill to  heat until hot. Carve steak crosswise into thin slices; arrange on heated  platter."", ""Spoon sauce over beef; garnish with lime slices and cilantro sprigs."", ""Serve immediately."", ""Tip: To broil, place steak on rack in broiler pan so surface of  meat is 3 to 4 inches from heat. Broil 16 to 21 minutes, turning once.""
)"
1952,3435,Nuoc Mam Gung,1845,Liz29298,,PT0S,PT0S,1999-10-18T03:42:00Z,"I enclose a recipe for Nuoc Mam Gung, a Thai sauce which can be used for dipping or as a kind of salad dressing (in small amounts; it's HOT!).  At home we often have it with prawns grilled with garlic and chilis and a salad made from lettuce, finely sliced onion and coriander (cilantro in the States?).  Nuoc Mam Gung",character(0),Thai,"c(""Asian"", ""< 15 Mins"", ""Easy"")","c(""1"", ""2"", ""2"", ""2"", ""1/2"", ""2"")","('ginger', 'caster sugar', 'garlic', 'lime', 'nam pla')",,,165.1,0.5,0.1,0.0,2789.0,40.0,2.4,31.9,4.1,,1 batch,"c(""Put the lot in a food processor and whizz until liquid."", ""Taste, and add more lime/Nam Pla if you think it needs it. Thanks, Liz Ling"")"
2445,3990,Chinese Garlic Sauce,1646,WildlifeDi,PT5M,PT5M,PT10M,1999-11-05T09:34:00Z,Make and share this Chinese Garlic Sauce recipe from Food.com.,character(0),Chinese,"c(""Asian"", ""Low Protein"", ""< 15 Mins"", ""Easy"")","c(""2"", ""2"", ""3"", NA, ""1/2"")","('garlic', 'oyster sauce', 'fresh ginger', 'canned broth')",4.5,2.0,668.7,57.3,10.0,7.2,3300.5,31.3,1.0,4.1,9.6,,1/2 cup,"c(""Heat wok or deep pan over high heat until it is hot.  Add oil and wait until it is smoking, add ginger and garlic and leave for a minute or so."", ""Then add the oyster sauce and stock simmering for another few minutes."", ""Pour over your favorite fried rice, white rice or meat, especially chicken."")"
3057,4729,Wonton Soup III,1809,Dale Goodman,,PT0S,PT0S,1999-11-20T16:54:00Z,Make and share this Wonton Soup III recipe from Food.com.,character(0),Chinese,"c(""Asian"", ""< 15 Mins"")","c(""1/4"", ""2"", ""3"", ""2"", ""1"", ""1/2"", ""1/4"", ""1"", ""24"", ""1"", ""5"", ""1/2"", ""1/2"", ""1/2"", ""1"", ""4"", ""4"", ""4"", ""1/4"", ""1"", ""1"", ""2"", ""1/4"")","('raw shrimp', 'water chestnuts', 'green onions', 'cornstarch', 'salt', 'white pepper', 'wonton skins', 'water', 'chicken breast', 'cornstarch', 'salt', 'white pepper', 'mushrooms', 'chicken broth', 'bamboo shoot', 'salt', 'white pepper', 'green onions')",5.0,1.0,1129.5,22.4,5.7,240.4,9562.8,135.3,7.5,8.7,90.5,1.0,,"c(""Peel shrimp. Make a shallow cut lengthwise down the back of each shrimp; wash out vein. Chop shrimp finely."", ""Mix shrimp, pork, water chestnuts, 2 green onions, 1 tsp. cornstarch, 1/2 tsp. salt, 1/4 tsp. sesame oil and dash of white pepper."", ""Place 1/2 tsp. shrimp mixture in center of wonton skin. (Cover remaining skins with plastic wrap to keep  them pliable.)"", ""Fold bottom corner of wonton skin over filling to opposite corner, forming a triangle. Brush right corner of triangle with egg white. Bring corners together below filling;  pinch left corner to right corner to seal."", 
""Repeat with remaining wonton skins. (Cover filled wontons with plastic wrap to keep them from drying out. )"", ""Heat water to boiling in Dutch oven; add wontons. Heat to boiling; reduce heat. Simmer uncovered 2 minutes; drain."", ""Rinse wontons under cold water; place in bowl and cover with iced water to keep them from sticking together."", ""Remove bones and skin from chicken breast; cut chicken into thin slices."", ""Toss chicken, 1/2 tsp. cornstarch, 1/2 tsp. salt and dash of white pepper in medium bowl. Cover and refrigerate 20 minutes."", 
""Remove strings from pea pods. Place pea pods in boiling water. Cover and cook 1 minute; drain."", ""Immediately rinse in cold water; drain. Cut pea pods lengthwise into halves."", ""Cut mushrooms into 1/4 inch slices.  Heat broth and mushrooms to boiling in Dutch oven."", ""Stir in chicken; heat to boiling."", ""Drain wontons. Stir wontons, bamboo shoots, 1 tsp. salt and dash of white pepper into broth.  Heat to boiling; reduce heat. Simmer uncovered 2 minutes."", ""Stir in pea pods, 2 Tbsp. green onions and 1/4 tsp. sesame oil.""
)"
3090,4767,African Sadza Dumpling,1948,Chipili,,PT0S,PT0S,1999-11-21T19:31:00Z,"African Nzema / Sadza / Banku / Ugali / Pap / Mealie-meal.  Due to its enormous popularity, Sadza is regarded as Zimbabwe's national dish. Like the West African Banku, the East African Ugali, the Zambian Ntsima and the South African Mealie-meal, Sadza is a stiff, steamed dumpling made from white maize flour or rapoko (red millet flour) and served with stews or roasted meat, fish or vegetables and sauce.  This makes a mountain! I use 1/5th of this for 3 people.",character(0),African,"c(""Low Protein"", ""Low Cholesterol"", ""Healthy"", ""< 15 Mins"", ""Easy"")","c(""2 1/2"", ""1"")",water,4.5,2.0,1052.4,5.0,0.5,0.0,38.7,226.0,11.1,4.6,20.2,4.0,,"c(""Bring 1.5 L (2 1/4 pt) of the water to the boil in a heavy-based saucepan with a long handle for easy handling."", ""Mix half the mealie-meal with the remaining cold water to form a smooth paste."", ""Add this paste to the boiling water, stirring vigorously to avoid lumps, until it boils again. Cover and continue to boil for 5 minutes."", ""Gradually add the remaining mealie-meal, one-quarter at a time, stirring thoroughly and firmly until the whole mixture thickens. You need a firm wrist - as the mixture thickens, the porridge gets firmer and more difficult to stir."", 
""Reduce the heat, cover the pan and cook for another 3 minutes."", ""Wet a small bowl with cold water and use the wet bowl to form the mixture into individual portions. Alternatively, you can serve the Sadza as one large family meal."", ""Serve hot with vegetables and stew or roast meat or fish with the gravy of your choice."")"
3537,5312,Dipping Sauce,1863,debbie8760,,PT0S,PT0S,1999-12-15T23:36:00Z,Make and share this Dipping Sauce recipe from Food.com.,character(0),Chinese,"c(""Asian"", ""Low Protein"", ""Low Cholesterol"", ""Healthy"", ""< 15 Mins"", ""Easy"")","c(""3"", ""1/8"", ""1/4"", ""1/8"")","('garlic', 'salt', 'vinegar', 'pepper')",,,99.4,0.2,0.1,0.0,1173.8,12.7,1.1,0.5,2.4,,1/4 cups,"""Combine all ingredients; serve with hot egg rolls."""
3992,6768,"Ginger-Garlic Shrimp, China Royal",35526,riffraff,,PT0S,PT2M,2000-03-06T16:15:00Z,"Make and share this Ginger-Garlic Shrimp, China Royal recipe from Food.com.",character(0),Chinese,"c(""Asian"", ""< 15 Mins"")","c(""16"", ""1/4"", ""1"", ""3"", ""2"", NA)","('jumbo shrimp', 'ginger', 'garlic', 'green onions')",,,244.9,15.6,2.1,170.2,167.3,2.3,0.2,0.2,23.0,4.0,,"c(""Slit the shrimp up the back with a sharp knife and remove the vein."", ""Do not shell the shrimp."", ""Heat the oil in a wok or wide heavy skillet."", ""When the oil is rippling, throw in the shrimp and stir-fry over high heat for 2 minutes."", ""Drain very well."", ""Return 1/2 T oil to the wok."", ""Heat."", ""Throw in the shrimp along with the ginger, garlic, and onions."", ""Stir-fry for 20 seconds."", ""Season with salt and freshly ground pepper."", ""Stir-fry for an additional 20 seconds."", ""Serve at once.""
)"
